Design Name,Backend Phase,Corner1,Power1,Corner2,Power2,Corner3,Power3
VexiiRiscv_929,placement,Fast,81683000.0,Slow,53278000.0,Typical,64019000.0
VexiiRiscv_929,chipfinish,Fast,14837000.0,Slow,6331000.0,Typical,9917700.0
VexiiRiscv_929,route,Fast,14832000.0,Slow,6330000.0,Typical,9915700.0
VexiiRiscv_929,floorplan,Fast,91117000.0,Slow,51679000.0,Typical,67462000.0
VexiiRiscv_459,cts,Fast,922050.0,Slow,525350.0,Typical,676410.0
VexiiRiscv_459,placement,Fast,68768000.0,Slow,46710000.0,Typical,56726000.0
VexiiRiscv_459,chipfinish,Fast,922780.0,Slow,528760.0,Typical,679870.0
VexiiRiscv_459,route,Fast,922470.0,Slow,528630.0,Typical,679670.0
VexiiRiscv_459,floorplan,Fast,68756000.0,Slow,45958000.0,Typical,56714000.0
VexiiRiscv_317,cts,Fast,2536500.0,Slow,936990.0,Typical,1609200.0
VexiiRiscv_317,placement,Fast,69787000.0,Slow,47524000.0,Typical,57209000.0
VexiiRiscv_317,chipfinish,Fast,2867800.0,Slow,1037700.0,Typical,1815200.0
VexiiRiscv_317,route,Fast,2867400.0,Slow,1037500.0,Typical,1815000.0
VexiiRiscv_317,floorplan,Fast,70193000.0,Slow,46069000.0,Typical,57315000.0
VexiiRiscv_69,cts,Fast,8306500.0,Slow,3441400.0,Typical,5442800.0
VexiiRiscv_69,placement,Fast,75697000.0,Slow,50410000.0,Typical,60611000.0
VexiiRiscv_69,chipfinish,Fast,8963800.0,Slow,3675800.0,Typical,5893900.0
VexiiRiscv_69,route,Fast,8960200.0,Slow,3675000.0,Typical,5892300.0
VexiiRiscv_69,floorplan,Fast,73764000.0,Slow,47593000.0,Typical,59746000.0
VexiiRiscv_1006,cts,Fast,12418000.0,Slow,4070400.0,Typical,7778400.0
VexiiRiscv_1006,placement,Fast,76870000.0,Slow,52063000.0,Typical,60989000.0
VexiiRiscv_1006,chipfinish,Fast,14431000.0,Slow,4590000.0,Typical,8959300.0
VexiiRiscv_1006,route,Fast,14426000.0,Slow,4589200.0,Typical,8957600.0
VexiiRiscv_1006,floorplan,Fast,5735400000.0,Slow,152410000.0,Typical,1470500000.0
VexiiRiscv_385,cts,Fast,2671700.0,Slow,1097500.0,Typical,1792700.0
VexiiRiscv_385,placement,Fast,70155000.0,Slow,47744000.0,Typical,57417000.0
VexiiRiscv_385,chipfinish,Fast,3040200.0,Slow,1212700.0,Typical,2021000.0
VexiiRiscv_385,route,Fast,3039400.0,Slow,1212500.0,Typical,2020600.0
VexiiRiscv_385,floorplan,Fast,70394000.0,Slow,46168000.0,Typical,57475000.0
VexiiRiscv_337,cts,Fast,7668400.0,Slow,2877400.0,Typical,4969300.0
VexiiRiscv_337,placement,Fast,73971000.0,Slow,50079000.0,Typical,59509000.0
VexiiRiscv_337,chipfinish,Fast,8728400.0,Slow,3184100.0,Typical,5613700.0
VexiiRiscv_337,route,Fast,8726100.0,Slow,3183500.0,Typical,5612500.0
VexiiRiscv_337,floorplan,Fast,3007700000.0,Slow,169710000.0,Typical,850700000.0
VexiiRiscv_998,cts,Fast,8411400.0,Slow,3040600.0,Typical,5265400.0
VexiiRiscv_998,placement,Fast,141860000.0,Slow,96074000.0,Typical,115800000.0
VexiiRiscv_998,chipfinish,Fast,9316900.0,Slow,3277300.0,Typical,5792000.0
VexiiRiscv_998,route,Fast,9312500.0,Slow,3276500.0,Typical,5790200.0
VexiiRiscv_998,floorplan,Fast,190290000.0,Slow,92611000.0,Typical,126610000.0
VexiiRiscv_1002,cts,Fast,1609100.0,Slow,769110.0,Typical,1118900.0
VexiiRiscv_1002,placement,Fast,69368000.0,Slow,47171000.0,Typical,57022000.0
VexiiRiscv_1002,chipfinish,Fast,1744200.0,Slow,821850.0,Typical,1211300.0
VexiiRiscv_1002,route,Fast,1743800.0,Slow,821680.0,Typical,1211100.0
VexiiRiscv_1002,floorplan,Fast,69497000.0,Slow,46043000.0,Typical,57051000.0
VexiiRiscv_616,cts,Fast,6480800.0,Slow,2340700.0,Typical,4107300.0
VexiiRiscv_616,placement,Fast,73044000.0,Slow,49368000.0,Typical,59036000.0
VexiiRiscv_616,chipfinish,Fast,7256700.0,Slow,2572600.0,Typical,4601300.0
VexiiRiscv_616,route,Fast,7254300.0,Slow,2572000.0,Typical,4600100.0
VexiiRiscv_616,floorplan,Fast,2908600000.0,Slow,99265000.0,Typical,764910000.0
VexiiRiscv_269,cts,Fast,4155000.0,Slow,1717300.0,Typical,2646300.0
VexiiRiscv_269,placement,Fast,139180000.0,Slow,94340000.0,Typical,114360000.0
VexiiRiscv_269,chipfinish,Fast,4326300.0,Slow,1785400.0,Typical,2772200.0
VexiiRiscv_269,route,Fast,4324100.0,Slow,1785000.0,Typical,2771200.0
VexiiRiscv_269,floorplan,Fast,148060000.0,Slow,92242000.0,Typical,116250000.0
VexiiRiscv_656,cts,Fast,24799000.0,Slow,7501000.0,Typical,15244000.0
VexiiRiscv_656,placement,Fast,84794000.0,Slow,57291000.0,Typical,65106000.0
VexiiRiscv_656,chipfinish,Fast,29121000.0,Slow,8541100.0,Typical,17710000.0
VexiiRiscv_656,route,Fast,29113000.0,Slow,8539200.0,Typical,17706000.0
VexiiRiscv_656,floorplan,Fast,11114000000.0,Slow,49003000.0,Typical,2631700000.0
VexiiRiscv_880,cts,Fast,42272000.0,Slow,13682000.0,Typical,26388000.0
VexiiRiscv_880,placement,Fast,99198000.0,Slow,66139000.0,Typical,72892000.0
VexiiRiscv_880,chipfinish,Fast,48860000.0,Slow,15457000.0,Typical,30383000.0
VexiiRiscv_880,route,Fast,48849000.0,Slow,15455000.0,Typical,30377000.0
VexiiRiscv_880,floorplan,Fast,4955700000.0,Slow,92553000.0,Typical,1242900000.0
VexiiRiscv_300,cts,Fast,6071300.0,Slow,1950000.0,Typical,3754900.0
VexiiRiscv_300,placement,Fast,71824000.0,Slow,48901000.0,Typical,58287000.0
VexiiRiscv_300,chipfinish,Fast,7094300.0,Slow,2193100.0,Typical,4322300.0
VexiiRiscv_300,route,Fast,7091800.0,Slow,2192500.0,Typical,4320900.0
VexiiRiscv_300,floorplan,Fast,73396000.0,Slow,46451000.0,Typical,58605000.0
VexiiRiscv_61,cts,Fast,5214300.0,Slow,1567900.0,Typical,3210400.0
VexiiRiscv_61,placement,Fast,71115000.0,Slow,48532000.0,Typical,57855000.0
VexiiRiscv_61,chipfinish,Fast,6199100.0,Slow,1797200.0,Typical,3756900.0
VexiiRiscv_61,route,Fast,6197200.0,Slow,1796800.0,Typical,3755800.0
VexiiRiscv_61,floorplan,Fast,99159000.0,Slow,46871000.0,Typical,65098000.0
VexiiRiscv_589,cts,Fast,2202200.0,Slow,1059100.0,Typical,1513000.0
VexiiRiscv_589,placement,Fast,69832000.0,Slow,47366000.0,Typical,57325000.0
VexiiRiscv_589,chipfinish,Fast,2331000.0,Slow,1111400.0,Typical,1604300.0
