File Path,Corner1,Power1,Corner2,Power2,Corner3,Power3
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_921_100/VexiiRiscv_921_100_build/rpt/placement.report_power,Fast,6.9983e+07,Slow,4.7483e+07,Typical,5.7393e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_921_100/VexiiRiscv_921_100_build/rpt/chipfinish.report_power,Fast,2.8454e+06,Slow,1.1445e+06,Typical,1.8447e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_921_100/VexiiRiscv_921_100_build/rpt/route.report_power,Fast,2.8447e+06,Slow,1.1442e+06,Typical,1.8443e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_921_100/VexiiRiscv_921_100_build/rpt/floorplan.report_power,Fast,7.0079e+07,Slow,4.6280e+07,Typical,5.7407e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_41_100/VexiiRiscv_41_100_build/rpt/cts.report_power,Fast,3.3907e+06,Slow,1.4140e+06,Typical,2.1978e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_41_100/VexiiRiscv_41_100_build/rpt/placement.report_power,Fast,7.0712e+07,Slow,4.7964e+07,Typical,5.7785e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_41_100/VexiiRiscv_41_100_build/rpt/chipfinish.report_power,Fast,3.6950e+06,Slow,1.5241e+06,Typical,2.4013e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_41_100/VexiiRiscv_41_100_build/rpt/route.report_power,Fast,3.6940e+06,Slow,1.5238e+06,Typical,2.4008e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_41_100/VexiiRiscv_41_100_build/rpt/floorplan.report_power,Fast,7.2698e+07,Slow,4.6435e+07,Typical,5.8214e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_854_100/VexiiRiscv_854_100_build/rpt/cts.report_power,Fast,9.9191e+06,Slow,3.6233e+06,Typical,6.1321e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_854_100/VexiiRiscv_854_100_build/rpt/placement.report_power,Fast,7.5529e+07,Slow,5.0181e+07,Typical,6.0627e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_854_100/VexiiRiscv_854_100_build/rpt/chipfinish.report_power,Fast,1.0517e+07,Slow,3.8042e+06,Typical,6.5180e+06
